SET|PARTICIPANT|TIMESTAMP|SOURCE|X|Y|Z|TYPE|ACTIVITY|IS_FALL
stairs|5|2023-02-01 13:09:59.243|TAG|-1.5|0.027|-0.156|A|5|0
stairs|5|2023-02-01 13:09:59.251|TAG|-1.476|0.074|-0.089|A|5|0
stairs|5|2023-02-01 13:09:59.258|TAG|-1.457|0.007|-0.027|A|5|0
stairs|5|2023-02-01 13:09:59.266|TAG|-1.429|-0.035|-0.046|A|5|0
stairs|5|2023-02-01 13:09:59.274|TAG|-1.386|0.07|-0.07|A|5|0
stairs|5|2023-02-01 13:09:59.282|TAG|-1.355|0.101|-0.152|A|5|0
stairs|5|2023-02-01 13:09:59.290|TAG|-1.25|0.035|-0.171|A|5|0
stairs|5|2023-02-01 13:09:59.297|TAG|-1.156|-0.031|-0.253|A|5|0
stairs|5|2023-02-01 13:09:59.305|TAG|-1.097|-0.046|-0.207|A|5|0
stairs|5|2023-02-01 13:09:59.313|TAG|-1.101|-0.042|-0.199|A|5|0
stairs|5|2023-02-01 13:09:59.321|TAG|-1.121|-0.062|-0.175|A|5|0
stairs|5|2023-02-01 13:09:59.329|TAG|-1.113|-0.078|-0.175|A|5|0
stairs|5|2023-02-01 13:09:59.336|TAG|-1.007|-0.136|-0.101|A|5|0
stairs|5|2023-02-01 13:09:59.344|TAG|-0.992|-0.152|-0.082|A|5|0
stairs|5|2023-02-01 13:09:59.352|TAG|-0.98|-0.175|-0.027|A|5|0
stairs|5|2023-02-01 13:09:59.360|TAG|-0.976|-0.164|0|A|5|0
stairs|5|2023-02-01 13:09:59.368|TAG|-0.941|-0.14|0.058|A|5|0
stairs|5|2023-02-01 13:09:59.376|TAG|-0.945|-0.14|0.097|A|5|0
stairs|5|2023-02-01 13:09:59.383|TAG|-0.941|-0.097|0.179|A|5|0
stairs|5|2023-02-01 13:09:59.391|TAG|-0.91|-0.046|0.246|A|5|0
stairs|5|2023-02-01 13:09:59.399|TAG|-0.937|0.011|0.203|A|5|0
stairs|5|2023-02-01 13:09:59.407|TAG|-0.863|0.031|0.21|A|5|0
stairs|5|2023-02-01 13:09:59.414|TAG|-0.832|0.062|0.175|A|5|0
